new_series_id,new_area_code,measure_code,measure_text,region
LASST250000000000003,ST2500000000000,3,unemployment rate,Massachusetts
LASST250000000000004,ST2500000000000,4,unemployment,Massachusetts
LASST250000000000005,ST2500000000000,5,employment,Massachusetts
LASST250000000000006,ST2500000000000,6,labor force,Massachusetts
LAUCS250052000000003,CS2500520000000,3,unemployment rate,Acushnet
LAUCS250052000000004,CS2500520000000,4,unemployment,Acushnet
LAUCS250052000000005,CS2500520000000,5,employment,Acushnet
LAUCS250052000000006,CS2500520000000,6,labor force,Acushnet
LAUCS251642500000003,CS2516425000000,3,unemployment rate,Dartmouth
LAUCS251642500000004,CS2516425000000,4,unemployment,Dartmouth
LAUCS251642500000005,CS2516425000000,5,employment,Dartmouth
LAUCS251642500000006,CS2516425000000,6,labor force,Dartmouth
LAUCS252213000000003,CS2522130000000,3,unemployment rate,Fairhaven
LAUCS252213000000004,CS2522130000000,4,unemployment,Fairhaven
LAUCS252213000000005,CS2522130000000,5,employment,Fairhaven
LAUCS252213000000006,CS2522130000000,6,labor force,Fairhaven
LAUCS253854000000003,CS2538540000000,3,unemployment rate,Marion
LAUCS253854000000004,CS2538540000000,4,unemployment,Marion
LAUCS253854000000005,CS2538540000000,5,employment,Marion
LAUCS253854000000006,CS2538540000000,6,labor force,Marion
LAUCS253945000000003,CS2539450000000,3,unemployment rate,Mattapoisett
LAUCS253945000000004,CS2539450000000,4,unemployment,Mattapoisett
LAUCS253945000000005,CS2539450000000,5,employment,Mattapoisett
LAUCS253945000000006,CS2539450000000,6,labor force,Mattapoisett
LAUCS255760000000003,CS2557600000000,3,unemployment rate,Rochester
LAUCS255760000000004,CS2557600000000,4,unemployment,Rochester
LAUCS255760000000005,CS2557600000000,5,employment,Rochester
LAUCS255760000000006,CS2557600000000,6,labor force,Rochester
LAUCS257298500000003,CS2572985000000,3,unemployment rate,Wareham
LAUCS257298500000004,CS2572985000000,4,unemployment,Wareham
LAUCS257298500000005,CS2572985000000,5,employment,Wareham
LAUCS257298500000006,CS2572985000000,6,labor force,Wareham
LAUCT257603000000003,CT2576030000000,3,unemployment rate,Westfield
LAUCT257603000000004,CT2576030000000,4,unemployment,Westfield
LAUCT257603000000005,CT2576030000000,5,employment,Westfield
LAUCT257603000000006,CT2576030000000,6,labor force,Westfield
LAUCT250084000000003,CT2500840000000,3,unemployment rate,Agawam
LAUCT250084000000004,CT2500840000000,4,unemployment,Agawam
LAUCT250084000000005,CT2500840000000,5,employment,Agawam
LAUCT250084000000006,CT2500840000000,6,labor force,Agawam
LAUCS251964500000003,CS2519645000000,3,unemployment rate,East Longmeadow
LAUCS251964500000004,CS2519645000000,4,unemployment,East Longmeadow
LAUCS251964500000005,CS2519645000000,5,employment,East Longmeadow
LAUCS251964500000006,CS2519645000000,6,labor force,East Longmeadow
LAUCS252807500000003,CS2528075000000,3,unemployment rate,Hampden
LAUCS252807500000004,CS2528075000000,4,unemployment,Hampden
LAUCS252807500000005,CS2528075000000,5,employment,Hampden
LAUCS252807500000006,CS2528075000000,6,labor force,Hampden
LAUCS253066500000003,CS2530665000000,3,unemployment rate,Holland
LAUCS253066500000004,CS2530665000000,4,unemployment,Holland
LAUCS253066500000005,CS2530665000000,5,employment,Holland
LAUCS253066500000006,CS2530665000000,6,labor force,Holland
LAUCS253630000000003,CS2536300000000,3,unemployment rate,Longmeadow
LAUCS253630000000004,CS2536300000000,4,unemployment,Longmeadow
LAUCS253630000000005,CS2536300000000,5,employment,Longmeadow
LAUCS253630000000006,CS2536300000000,6,labor force,Longmeadow
LAUCS253717500000003,CS2537175000000,3,unemployment rate,Ludlow
LAUCS253717500000004,CS2537175000000,4,unemployment,Ludlow
LAUCS253717500000005,CS2537175000000,5,employment,Ludlow
LAUCS253717500000006,CS2537175000000,6,labor force,Ludlow
LAUCS254214500000003,CS2542145000000,3,unemployment rate,Monson
LAUCS254214500000004,CS2542145000000,4,unemployment,Monson
LAUCS254214500000005,CS2542145000000,5,employment,Monson
LAUCS254214500000006,CS2542145000000,6,labor force,Monson
LAUCT255214400000003,CT2552144000000,3,unemployment rate,Palmer
LAUCT255214400000004,CT2552144000000,4,unemployment,Palmer
LAUCT255214400000005,CT2552144000000,5,employment,Palmer
LAUCT255214400000006,CT2552144000000,6,labor force,Palmer
LAUCS256582500000003,CS2565825000000,3,unemployment rate,Southwick
LAUCS256582500000004,CS2565825000000,4,unemployment,Southwick
LAUCS256582500000005,CS2565825000000,5,employment,Southwick
LAUCS256582500000006,CS2565825000000,6,labor force,Southwick
LAUCT257789000000003,CT2577890000000,3,unemployment rate,West Springfield
LAUCT257789000000004,CT2577890000000,4,unemployment,West Springfield
LAUCT257789000000005,CT2577890000000,5,employment,West Springfield
LAUCT257789000000006,CT2577890000000,6,labor force,West Springfield
LAUCS257974000000003,CS2579740000000,3,unemployment rate,Wilbraham
LAUCS257974000000004,CS2579740000000,4,unemployment,Wilbraham
LAUCS257974000000005,CS2579740000000,5,employment,Wilbraham
LAUCS257974000000006,CS2579740000000,6,labor force,Wilbraham
LAUCS250608500000003,CS2506085000000,3,unemployment rate,Blandford
LAUCS250608500000004,CS2506085000000,4,unemployment,Blandford
LAUCS250608500000005,CS2506085000000,5,employment,Blandford
LAUCS250608500000006,CS2506085000000,6,labor force,Blandford
LAUCS250847000000003,CS2508470000000,3,unemployment rate,Brimfield
LAUCS250847000000004,CS2508470000000,4,unemployment,Brimfield
LAUCS250847000000005,CS2508470000000,5,employment,Brimfield
LAUCS250847000000006,CS2508470000000,6,labor force,Brimfield
LAUCS251348500000003,CS2513485000000,3,unemployment rate,Chester
LAUCS251348500000004,CS2513485000000,4,unemployment,Chester
LAUCS251348500000005,CS2513485000000,5,employment,Chester
LAUCS251348500000006,CS2513485000000,6,labor force,Chester
LAUCS252667500000003,CS2526675000000,3,unemployment rate,Granville
LAUCS252667500000004,CS2526675000000,4,unemployment,Granville
LAUCS252667500000005,CS2526675000000,5,employment,Granville
LAUCS252667500000006,CS2526675000000,6,labor force,Granville
LAUCS254253000000003,CS2542530000000,3,unemployment rate,Montgomery
LAUCS254253000000004,CS2542530000000,4,unemployment,Montgomery
LAUCS254253000000005,CS2542530000000,5,employment,Montgomery
LAUCS254253000000006,CS2542530000000,6,labor force,Montgomery
LAUCS255865000000003,CS2558650000000,3,unemployment rate,Russell
LAUCS255865000000004,CS2558650000000,4,unemployment,Russell
LAUCS255865000000005,CS2558650000000,5,employment,Russell
LAUCS255865000000006,CS2558650000000,6,labor force,Russell
LAUCS257004500000003,CS2570045000000,3,unemployment rate,Tolland
LAUCS257004500000004,CS2570045000000,4,unemployment,Tolland
LAUCS257004500000005,CS2570045000000,5,employment,Tolland
LAUCS257004500000006,CS2570045000000,6,labor force,Tolland
LAUCS257239000000003,CS2572390000000,3,unemployment rate,Wales
LAUCS257239000000004,CS2572390000000,4,unemployment,Wales
LAUCS257239000000005,CS2572390000000,5,employment,Wales
LAUCS257239000000006,CS2572390000000,6,labor force,Wales
LAUCS250276000000003,CS2502760000000,3,unemployment rate,Auburn
LAUCS250276000000004,CS2502760000000,4,unemployment,Auburn
LAUCS250276000000005,CS2502760000000,5,employment,Auburn
LAUCS250276000000006,CS2502760000000,6,labor force,Auburn
LAUCS250752500000003,CS2507525000000,3,unemployment rate,Boylston
LAUCS250752500000004,CS2507525000000,4,unemployment,Boylston
LAUCS250752500000005,CS2507525000000,5,employment,Boylston
LAUCS250752500000006,CS2507525000000,6,labor force,Boylston
LAUCS252643000000003,CS2526430000000,3,unemployment rate,Grafton
LAUCS252643000000004,CS2526430000000,4,unemployment,Grafton
LAUCS252643000000005,CS2526430000000,5,employment,Grafton
LAUCS252643000000006,CS2526430000000,6,labor force,Grafton
LAUCS253056000000003,CS2530560000000,3,unemployment rate,Holden
LAUCS253056000000004,CS2530560000000,4,unemployment,Holden
LAUCS253056000000005,CS2530560000000,5,employment,Holden
LAUCS253056000000006,CS2530560000000,6,labor force,Holden
LAUCS253479500000003,CS2534795000000,3,unemployment rate,Leicester
LAUCS253479500000004,CS2534795000000,4,unemployment,Leicester
LAUCS253479500000005,CS2534795000000,5,employment,Leicester
LAUCS253479500000006,CS2534795000000,6,labor force,Leicester
LAUCS254134000000003,CS2541340000000,3,unemployment rate,Millbury
LAUCS254134000000004,CS2541340000000,4,unemployment,Millbury
LAUCS254134000000005,CS2541340000000,5,employment,Millbury
LAUCS254134000000006,CS2541340000000,6,labor force,Millbury
LAUCS254682000000003,CS2546820000000,3,unemployment rate,Northborough
LAUCS254682000000004,CS2546820000000,4,unemployment,Northborough
LAUCS254682000000005,CS2546820000000,5,employment,Northborough
LAUCS254682000000006,CS2546820000000,6,labor force,Northborough
LAUCS255242000000003,CS2552420000000,3,unemployment rate,Paxton
LAUCS255242000000004,CS2552420000000,4,unemployment,Paxton
LAUCS255242000000005,CS2552420000000,5,employment,Paxton
LAUCS255242000000006,CS2552420000000,6,labor force,Paxton
LAUCS255882500000003,CS2558825000000,3,unemployment rate,Rutland
LAUCS255882500000004,CS2558825000000,4,unemployment,Rutland
LAUCS255882500000005,CS2558825000000,5,employment,Rutland
LAUCS255882500000006,CS2558825000000,6,labor force,Rutland
LAUCS256180000000003,CS2561800000000,3,unemployment rate,Shrewsbury
LAUCS256180000000004,CS2561800000000,4,unemployment,Shrewsbury
LAUCS256180000000005,CS2561800000000,5,employment,Shrewsbury
LAUCS256180000000006,CS2561800000000,6,labor force,Shrewsbury
LAUCS256610500000003,CS2566105000000,3,unemployment rate,Spencer
LAUCS256610500000004,CS2566105000000,4,unemployment,Spencer
LAUCS256610500000005,CS2566105000000,5,employment,Spencer
LAUCS256610500000006,CS2566105000000,6,labor force,Spencer
LAUCS257501500000003,CS2575015000000,3,unemployment rate,Westborough
LAUCS257501500000004,CS2575015000000,4,unemployment,Westborough
LAUCS257501500000005,CS2575015000000,5,employment,Westborough
LAUCS257501500000006,CS2575015000000,6,labor force,Westborough
LAUCS257515500000003,CS2575155000000,3,unemployment rate,West Boylston
LAUCS257515500000004,CS2575155000000,4,unemployment,West Boylston
LAUCS257515500000005,CS2575155000000,5,employment,West Boylston
LAUCS257515500000006,CS2575155000000,6,labor force,West Boylston
LAUCT257344000000003,CT2573440000000,3,unemployment rate,Watertown
LAUCT257344000000004,CT2573440000000,4,unemployment,Watertown
LAUCT257344000000005,CT2573440000000,5,employment,Watertown
LAUCT257344000000006,CT2573440000000,6,labor force,Watertown
LAUCS250507000000003,CS2505070000000,3,unemployment rate,Belmont
LAUCS250507000000004,CS2505070000000,4,unemployment,Belmont
LAUCS250507000000005,CS2505070000000,5,employment,Belmont
LAUCS250507000000006,CS2505070000000,6,labor force,Belmont
LAUCS250580500000003,CS2505805000000,3,unemployment rate,Billerica
LAUCS250580500000004,CS2505805000000,4,unemployment,Billerica
LAUCS250580500000005,CS2505805000000,5,employment,Billerica
LAUCS250580500000006,CS2505805000000,6,labor force,Billerica
LAUCS251313500000003,CS2513135000000,3,unemployment rate,Chelmsford
LAUCS251313500000004,CS2513135000000,4,unemployment,Chelmsford
LAUCS251313500000005,CS2513135000000,5,employment,Chelmsford
LAUCS251313500000006,CS2513135000000,6,labor force,Chelmsford
LAUCS251747500000003,CS2517475000000,3,unemployment rate,Dracut 
LAUCS251747500000004,CS2517475000000,4,unemployment,Dracut 
LAUCS251747500000005,CS2517475000000,5,employment,Dracut 
LAUCS251747500000006,CS2517475000000,6,labor force,Dracut 
LAUCS251782500000003,CS2517825000000,3,unemployment rate,Dunstable
LAUCS251782500000004,CS2517825000000,4,unemployment,Dunstable
LAUCS251782500000005,CS2517825000000,5,employment,Dunstable
LAUCS251782500000006,CS2517825000000,6,labor force,Dunstable
LAUCS256941500000003,CS2569415000000,3,unemployment rate,Tewksbury
LAUCS256941500000004,CS2569415000000,4,unemployment,Tewksbury
LAUCS256941500000005,CS2569415000000,5,employment,Tewksbury
LAUCS256941500000006,CS2569415000000,6,labor force,Tewksbury
LAUCS257102500000003,CS2571025000000,3,unemployment rate,Tyngsborough
LAUCS257102500000004,CS2571025000000,4,unemployment,Tyngsborough
LAUCS257102500000005,CS2571025000000,5,employment,Tyngsborough
LAUCS257102500000006,CS2571025000000,6,labor force,Tyngsborough
LAUCS257613500000003,CS2576135000000,3,unemployment rate,Westford
LAUCS257613500000004,CS2576135000000,4,unemployment,Westford
LAUCS257613500000005,CS2576135000000,5,employment,Westford
LAUCS257613500000006,CS2576135000000,6,labor force,Westford
LAUCS250017000000003,CS2500170000000,3,unemployment rate,Abington
LAUCS250017000000004,CS2500170000000,4,unemployment,Abington
LAUCS250017000000005,CS2500170000000,5,employment,Abington
LAUCS250017000000006,CS2500170000000,6,labor force,Abington
LAUCS250293500000003,CS2502935000000,3,unemployment rate,Avon
LAUCS250293500000004,CS2502935000000,4,unemployment,Avon
LAUCS250293500000005,CS2502935000000,5,employment,Avon
LAUCS250293500000006,CS2502935000000,6,labor force,Avon
LAUCS250808500000003,CS2508085000000,3,unemployment rate,Bridgewater
LAUCS250808500000004,CS2508085000000,4,unemployment,Bridgewater
LAUCS250808500000005,CS2508085000000,5,employment,Bridgewater
LAUCS250808500000006,CS2508085000000,6,labor force,Bridgewater
LAUCS251845500000003,CS2518455000000,3,unemployment rate,East Bridgewater
LAUCS251845500000004,CS2518455000000,4,unemployment,East Bridgewater
LAUCS251845500000005,CS2518455000000,5,employment,East Bridgewater
LAUCS251845500000006,CS2518455000000,6,labor force,East Bridgewater
LAUCS257526000000003,CS2575260000000,3,unemployment rate,West Bridgewater
LAUCS257526000000004,CS2575260000000,4,unemployment,West Bridgewater
LAUCS257526000000005,CS2575260000000,5,employment,West Bridgewater
LAUCS257526000000006,CS2575260000000,6,labor force,West Bridgewater
LAUCS252010000000003,CS2520100000000,3,unemployment rate,Easton
LAUCS252010000000004,CS2520100000000,4,unemployment,Easton
LAUCS252010000000005,CS2520100000000,5,employment,Easton
LAUCS252010000000006,CS2520100000000,6,labor force,Easton
LAUCS252849500000003,CS2528495000000,3,unemployment rate,Hanson
LAUCS252849500000004,CS2528495000000,4,unemployment,Hanson
LAUCS252849500000005,CS2528495000000,5,employment,Hanson
LAUCS252849500000006,CS2528495000000,6,labor force,Hanson
LAUCS256794500000003,CS2567945000000,3,unemployment rate,Stoughton
LAUCS256794500000004,CS2567945000000,4,unemployment,Stoughton
LAUCS256794500000005,CS2567945000000,5,employment,Stoughton
LAUCS256794500000006,CS2567945000000,6,labor force,Stoughton
LAUCS257953000000003,CS2579530000000,3,unemployment rate,Whitman
LAUCS257953000000004,CS2579530000000,4,unemployment,Whitman
LAUCS257953000000005,CS2579530000000,5,employment,Whitman
LAUCS257953000000006,CS2579530000000,6,labor force,Whitman
LAUCS256243000000003,CS2562430000000,3,unemployment rate,Somerset
LAUCS256243000000004,CS2562430000000,4,unemployment,Somerset
LAUCS256243000000005,CS2562430000000,5,employment,Somerset
LAUCS256243000000006,CS2562430000000,6,labor force,Somerset
LAUCS256875000000003,CS2568750000000,3,unemployment rate,Swansea
LAUCS256875000000004,CS2568750000000,4,unemployment,Swansea
LAUCS256875000000005,CS2568750000000,5,employment,Swansea
LAUCS256875000000006,CS2568750000000,6,labor force,Swansea
LAUCS257757000000003,CS2577570000000,3,unemployment rate,Westport
LAUCS257757000000004,CS2577570000000,4,unemployment,Westport
LAUCS257757000000005,CS2577570000000,5,employment,Westport
LAUCS257757000000006,CS2577570000000,6,labor force,Westport
LAUCS252524000000003,CS2525240000000,3,unemployment rate,Freetown
LAUCS252524000000004,CS2525240000000,4,unemployment,Freetown
LAUCS252524000000005,CS2525240000000,5,employment,Freetown
LAUCS252524000000006,CS2525240000000,6,labor force,Freetown
LAUCN250010000000003,CN2500100000000,3,unemployment rate,Barnstable County
LAUCN250010000000004,CN2500100000000,4,unemployment,Barnstable County
LAUCN250010000000005,CN2500100000000,5,employment,Barnstable County
LAUCN250010000000006,CN2500100000000,6,labor force,Barnstable County
LAUCN250050000000003,CN2500500000000,3,unemployment rate,Bristol County
LAUCN250050000000004,CN2500500000000,4,unemployment,Bristol County
LAUCN250050000000005,CN2500500000000,5,employment,Bristol County
LAUCN250050000000006,CN2500500000000,6,labor force,Bristol County
LAUCN250070000000003,CN2500700000000,3,unemployment rate,Dukes County
LAUCN250070000000004,CN2500700000000,4,unemployment,Dukes County
LAUCN250070000000005,CN2500700000000,5,employment,Dukes County
LAUCN250070000000006,CN2500700000000,6,labor force,Dukes County
LAUCN250090000000003,CN2500900000000,3,unemployment rate,Essex County
LAUCN250090000000004,CN2500900000000,4,unemployment,Essex County
LAUCN250090000000005,CN2500900000000,5,employment,Essex County
LAUCN250090000000006,CN2500900000000,6,labor force,Essex County
LAUCN250110000000003,CN2501100000000,3,unemployment rate,Franklin County
LAUCN250110000000004,CN2501100000000,4,unemployment,Franklin County
LAUCN250110000000005,CN2501100000000,5,employment,Franklin County
LAUCN250110000000006,CN2501100000000,6,labor force,Franklin County
LAUCN250150000000003,CN2501500000000,3,unemployment rate,Hampshire County
LAUCN250150000000004,CN2501500000000,4,unemployment,Hampshire County
LAUCN250150000000005,CN2501500000000,5,employment,Hampshire County
LAUCN250150000000006,CN2501500000000,6,labor force,Hampshire County
LAUCN250170000000003,CN2501700000000,3,unemployment rate,Middlesex County
LAUCN250170000000004,CN2501700000000,4,unemployment,Middlesex County
LAUCN250170000000005,CN2501700000000,5,employment,Middlesex County
LAUCN250170000000006,CN2501700000000,6,labor force,Middlesex County
LAUCN250190000000003,CN2501900000000,3,unemployment rate,Nantucket County
LAUCS254379000000003,CS2543790000000,3,unemployment rate,Nantucket
LAUCN250190000000004,CN2501900000000,4,unemployment,Nantucket County
LAUCS254379000000004,CS2543790000000,4,unemployment,Nantucket
LAUCN250190000000005,CN2501900000000,5,employment,Nantucket County
LAUCS254379000000005,CS2543790000000,5,employment,Nantucket
LAUCN250190000000006,CN2501900000000,6,labor force,Nantucket County
LAUCS254379000000006,CS2543790000000,6,labor force,Nantucket
LAUCN250210000000003,CN2502100000000,3,unemployment rate,Norfolk County
LAUCN250210000000004,CN2502100000000,4,unemployment,Norfolk County
LAUCN250210000000005,CN2502100000000,5,employment,Norfolk County
LAUCN250210000000006,CN2502100000000,6,labor force,Norfolk County
LAUCN250230000000003,CN2502300000000,3,unemployment rate,Plymouth County
LAUCN250230000000004,CN2502300000000,4,unemployment,Plymouth County
LAUCN250230000000005,CN2502300000000,5,employment,Plymouth County
LAUCN250230000000006,CN2502300000000,6,labor force,Plymouth County
LAUCN250250000000003,CN2502500000000,3,unemployment rate,Suffolk County
LAUCN250250000000004,CN2502500000000,4,unemployment,Suffolk County
LAUCN250250000000005,CN2502500000000,5,employment,Suffolk County
LAUCN250250000000006,CN2502500000000,6,labor force,Suffolk County
LAUCN250270000000003,CN2502700000000,3,unemployment rate,Worcester County
LAUCN250270000000004,CN2502700000000,4,unemployment,Worcester County
LAUCN250270000000005,CN2502700000000,5,employment,Worcester County
LAUCN250270000000006,CN2502700000000,6,labor force,Worcester County
LAUCS250248000000003,CS2502480000000,3,unemployment rate,Athol
LAUCS250248000000004,CS2502480000000,4,unemployment,Athol
LAUCS250248000000005,CS2502480000000,5,employment,Athol
LAUCS250248000000006,CS2502480000000,6,labor force,Athol
LAUCS250374000000003,CS2503740000000,3,unemployment rate,Barre
LAUCS250374000000004,CS2503740000000,4,unemployment,Barre
LAUCS250374000000005,CS2503740000000,5,employment,Barre
LAUCS250374000000006,CS2503740000000,6,labor force,Barre
LAUCS252178000000003,CS2521780000000,3,unemployment rate,Erving
LAUCS252178000000004,CS2521780000000,4,unemployment,Erving
LAUCS252178000000005,CS2521780000000,5,employment,Erving
LAUCS252178000000006,CS2521780000000,6,labor force,Erving
LAUCS254549000000003,CS2545490000000,3,unemployment rate,New Salem
LAUCS254549000000004,CS2545490000000,4,unemployment,New Salem
LAUCS254549000000005,CS2545490000000,5,employment,New Salem
LAUCS254549000000006,CS2545490000000,6,labor force,New Salem
LAUCS255126500000003,CS2551265000000,3,unemployment rate,Orange
LAUCS255126500000004,CS2551265000000,4,unemployment,Orange
LAUCS255126500000005,CS2551265000000,5,employment,Orange
LAUCS255126500000006,CS2551265000000,6,labor force,Orange
LAUCS255312000000003,CS2553120000000,3,unemployment rate,Petersham
LAUCS255312000000004,CS2553120000000,4,unemployment,Petersham
LAUCS255312000000005,CS2553120000000,5,employment,Petersham
LAUCS255312000000006,CS2553120000000,6,labor force,Petersham
LAUCS255322500000003,CS2553225000000,3,unemployment rate,Phillipston
LAUCS255322500000004,CS2553225000000,4,unemployment,Phillipston
LAUCS255322500000005,CS2553225000000,5,employment,Phillipston
LAUCS255322500000006,CS2553225000000,6,labor force,Phillipston
LAUCS255858000000003,CS2558580000000,3,unemployment rate,Royalston
LAUCS255858000000004,CS2558580000000,4,unemployment,Royalston
LAUCS255858000000005,CS2558580000000,5,employment,Royalston
LAUCS255858000000006,CS2558580000000,6,labor force,Royalston
LAUCS257326500000003,CS2573265000000,3,unemployment rate,Warwick
LAUCS257326500000004,CS2573265000000,4,unemployment,Warwick
LAUCS257326500000005,CS2573265000000,5,employment,Warwick
LAUCS257326500000006,CS2573265000000,6,labor force,Warwick
LAUCS257452500000003,CS2574525000000,3,unemployment rate,Wendell
LAUCS257452500000004,CS2574525000000,4,unemployment,Wendell
LAUCS257452500000005,CS2574525000000,5,employment,Wendell
LAUCS257452500000006,CS2574525000000,6,labor force,Wendell
LAUCT250369000000003,CT2503690000000,3,unemployment rate,Barnstable
LAUCT250369000000004,CT2503690000000,4,unemployment,Barnstable
LAUCT250369000000005,CT2503690000000,5,employment,Barnstable
LAUCT250369000000006,CT2503690000000,6,labor force,Barnstable
LAUCS250717500000003,CS2507175000000,3,unemployment rate,Bourne
LAUCS250717500000004,CS2507175000000,4,unemployment,Bourne
LAUCS250717500000005,CS2507175000000,5,employment,Bourne
LAUCS250717500000006,CS2507175000000,6,labor force,Bourne
LAUCS250798000000003,CS2507980000000,3,unemployment rate,Brewster
LAUCS250798000000004,CS2507980000000,4,unemployment,Brewster
LAUCS250798000000005,CS2507980000000,5,employment,Brewster
LAUCS250798000000006,CS2507980000000,6,labor force,Brewster
LAUCS251299500000003,CS2512995000000,3,unemployment rate,Chatham
LAUCS251299500000004,CS2512995000000,4,unemployment,Chatham
LAUCS251299500000005,CS2512995000000,5,employment,Chatham
LAUCS251299500000006,CS2512995000000,6,labor force,Chatham
