"","Municipal","County","State","Region"," Five_Year_Range"," Estimate; VETERAN STATUS - Civilian population 18 years and over"," Estimate; VETERAN STATUS - Civilian veterans"," Percent; VETERAN STATUS - Civilian veterans"," Percent Margin of Error; VETERAN STATUS - Civilian veterans"
"1",NA,"NA County",NA,"United States","2006-2010","228808831","22652496","9.9","0.1"
"2",NA,"NA County","MA","MA","2006-2010","5039038","425979","8.5","0.1"
"3",NA,"Barnstable County","MA","Barnstable County","2006-2010","177640","25566","14.4","0.4"
"4",NA,"Berkshire County","MA","Berkshire County","2006-2010","105100","11713","11.1","0.5"
"5",NA,"Bristol County","MA","Bristol County","2006-2010","421000","37276","8.9","0.3"
"6",NA,"Dukes County","MA","Dukes County","2006-2010","13005","1343","10.3","1.6"
"7",NA,"Essex County","MA","Essex County","2006-2010","561417","47802","8.5","0.2"
"8",NA,"Franklin County","MA","Franklin County","2006-2010","56982","6672","11.7","0.7"
"9",NA,"Hampden County","MA","Hampden County","2006-2010","350495","35687","10.2","0.3"
"10",NA,"Hampshire County","MA","Hampshire County","2006-2010","129806","10935","8.4","0.4"
"11",NA,"Middlesex County","MA","Middlesex County","2006-2010","1158304","83499","7.2","0.1"
"12",NA,"Nantucket County","MA","Nantucket County","2006-2010","7951","599","7.5","1.7"
"13",NA,"Norfolk County","MA","Norfolk County","2006-2010","509712","41798","8.2","0.2"
"14",NA,"Plymouth County","MA","Plymouth County","2006-2010","368950","38895","10.5","0.3"
"15",NA,"Suffolk County","MA","Suffolk County","2006-2010","577307","25698","4.5","0.2"
"16",NA,"Worcester County","MA","Worcester County","2006-2010","601369","58496","9.7","0.2"
"17","Barnstable","Barnstable County","MA","Barnstable","2006-2010","36976","4794","13","1"
"18","Bourne","Barnstable County","MA","Bourne","2006-2010","15199","2095","13.8","1.6"
"19","Brewster","Barnstable County","MA","Brewster","2006-2010","8195","1152","14.1","2.3"
"20","Chatham","Barnstable County","MA","Chatham","2006-2010","5383","875","16.3","2.4"
"21","Dennis","Barnstable County","MA","Dennis","2006-2010","11937","1839","15.4","2"
"22","Eastham","Barnstable County","MA","Eastham","2006-2010","4530","758","16.7","3.6"
"23","Falmouth","Barnstable County","MA","Falmouth","2006-2010","26452","4139","15.6","1.4"
"24","Harwich","Barnstable County","MA","Harwich","2006-2010","10187","1526","15","1.9"
"25","Mashpee","Barnstable County","MA","Mashpee","2006-2010","11162","1722","15.4","2.2"
"26","Orleans","Barnstable County","MA","Orleans","2006-2010","5339","984","18.4","3.4"
"27","Provincetown","Barnstable County","MA","Provincetown","2006-2010","2893","263","9.1","3.3"
"28","Sandwich","Barnstable County","MA","Sandwich","2006-2010","15096","1857","12.3","1.7"
"29","Truro","Barnstable County","MA","Truro","2006-2010","1547","289","18.7","5"
"30","Wellfleet","Barnstable County","MA","Wellfleet","2006-2010","2747","370","13.5","4"
"31","Yarmouth","Barnstable County","MA","Yarmouth","2006-2010","19997","2903","14.5","1.5"
"32","Adams","Berkshire County","MA","Adams","2006-2010","6603","818","12.4","2.1"
"33","Alford","Berkshire County","MA","Alford","2006-2010","381","58","15.2","4"
"34","Becket","Berkshire County","MA","Becket","2006-2010","1315","122","9.3","3.8"
"35","Cheshire","Berkshire County","MA","Cheshire","2006-2010","2651","280","10.6","3"
"36","Clarksburg","Berkshire County","MA","Clarksburg","2006-2010","1470","206","14","2.8"
"37","Dalton","Berkshire County","MA","Dalton","2006-2010","5177","618","11.9","2.5"
"38","Egremont","Berkshire County","MA","Egremont","2006-2010","1070","139","13","3.1"
"39","Florida","Berkshire County","MA","Florida","2006-2010","605","110","18.2","5.8"
"40","Great Barrington","Berkshire County","MA","Great Barrington","2006-2010","5820","621","10.7","2.6"
"41","Hancock","Berkshire County","MA","Hancock","2006-2010","503","76","15.1","5.2"
"42","Hinsdale","Berkshire County","MA","Hinsdale","2006-2010","1744","282","16.2","3.7"
"43","Lanesborough","Berkshire County","MA","Lanesborough","2006-2010","2442","324","13.3","4.8"
"44","Lee","Berkshire County","MA","Lee","2006-2010","4759","550","11.6","2.8"
"45","Lenox","Berkshire County","MA","Lenox","2006-2010","3740","432","11.6","3.7"
"46","Monterey","Berkshire County","MA","Monterey","2006-2010","655","100","15.3","7.4"
"47","Mount Washington","Berkshire County","MA","Mount Washington","2006-2010","112","4","3.6","4.7"
"48","New Ashford","Berkshire County","MA","New Ashford","2006-2010","202","24","11.9","6.4"
"49","New Marlborough","Berkshire County","MA","New Marlborough","2006-2010","1269","121","9.5","2.9"
"50","North Adams","Berkshire County","MA","North Adams","2006-2010","11494","1056","9.2","1.7"
"51","Otis","Berkshire County","MA","Otis","2006-2010","1051","140","13.3","4"
"52","Peru","Berkshire County","MA","Peru","2006-2010","658","66","10","3.8"
"53","Pittsfield","Berkshire County","MA","Pittsfield","2006-2010","35287","3726","10.6","0.9"
"54","Richmond","Berkshire County","MA","Richmond","2006-2010","1435","223","15.5","2.7"
"55","Sandisfield","Berkshire County","MA","Sandisfield","2006-2010","650","46","7.1","2.9"
"56","Savoy","Berkshire County","MA","Savoy","2006-2010","614","77","12.5","3.6"
"57","Sheffield","Berkshire County","MA","Sheffield","2006-2010","2621","321","12.2","4.3"
"58","Stockbridge","Berkshire County","MA","Stockbridge","2006-2010","1343","134","10","3.7"
"59","Tyringham","Berkshire County","MA","Tyringham","2006-2010","371","34","9.2","4.1"
"60","Washington","Berkshire County","MA","Washington","2006-2010","490","76","15.5","5.8"
"61","West Stockbridge","Berkshire County","MA","West Stockbridge","2006-2010","1232","119","9.7","3.1"
"62","Williamstown","Berkshire County","MA","Williamstown","2006-2010","6559","721","11","2.3"
"63","Windsor","Berkshire County","MA","Windsor","2006-2010","777","89","11.5","4.2"
"64","Acushnet","Bristol County","MA","Acushnet","2006-2010","8113","825","10.2","2.2"
"65","Attleboro","Bristol County","MA","Attleboro","2006-2010","33233","3067","9.2","1.1"
"66","Berkley","Bristol County","MA","Berkley","2006-2010","4635","407","8.8","2"
"67","Dartmouth","Bristol County","MA","Dartmouth","2006-2010","27512","2441","8.9","1.2"
"68","Dighton","Bristol County","MA","Dighton","2006-2010","5420","603","11.1","3.5"
"69","Easton","Bristol County","MA","Easton","2006-2010","18235","1290","7.1","1.2"
"70","Fairhaven","Bristol County","MA","Fairhaven","2006-2010","12989","1569","12.1","1.7"
"71","Fall River","Bristol County","MA","Fall River","2006-2010","69979","5376","7.7","0.6"
"72","Freetown","Bristol County","MA","Freetown","2006-2010","6865","715","10.4","2.1"
"73","Mansfield","Bristol County","MA","Mansfield","2006-2010","16123","1153","7.2","1.3"
"74","New Bedford","Bristol County","MA","New Bedford","2006-2010","70744","5331","7.5","0.6"
"75","North Attleborough","Bristol County","MA","North Attleborough","2006-2010","20868","2460","11.8","1.7"
"76","Norton","Bristol County","MA","Norton","2006-2010","14374","1073","7.5","1.7"
"77","Raynham","Bristol County","MA","Raynham","2006-2010","9541","1055","11.1","1.9"
"78","Rehoboth","Bristol County","MA","Rehoboth","2006-2010","8696","847","9.7","2"
"79","Seekonk","Bristol County","MA","Seekonk","2006-2010","10339","896","8.7","1.5"
"80","Somerset","Bristol County","MA","Somerset","2006-2010","14650","1491","10.2","1.5"
"81","Swansea","Bristol County","MA","Swansea","2006-2010","12954","1613","12.5","1.7"
"82","Taunton","Bristol County","MA","Taunton","2006-2010","43383","3735","8.6","0.8"
"83","Westport","Bristol County","MA","Westport","2006-2010","12347","1329","10.8","1.7"
"84","Aquinnah","Dukes County","MA","Aquinnah","2006-2010","326","3","0.9","2"
"85","Chilmark","Dukes County","MA","Chilmark","2006-2010","715","93","13","5.5"
"86","Edgartown","Dukes County","MA","Edgartown","2006-2010","3387","358","10.6","3.8"
"87","Gosnold","Dukes County","MA","Gosnold","2006-2010","191","37","19.4","8.5"
"88","Oak Bluffs","Dukes County","MA","Oak Bluffs","2006-2010","3377","396","11.7","3.5"
"89","Tisbury","Dukes County","MA","Tisbury","2006-2010","3199","333","10.4","3.5"
"90","West Tisbury","Dukes County","MA","West Tisbury","2006-2010","1810","123","6.8","2.8"
"91","Amesbury","Essex County","MA","Amesbury","2006-2010","12453","1216","9.8","1.5"
"92","Andover","Essex County","MA","Andover","2006-2010","23841","1841","7.7","0.9"
"93","Beverly","Essex County","MA","Beverly","2006-2010","31676","3162","10","1"
"94","Boxford","Essex County","MA","Boxford","2006-2010","5430","502","9.2","2.4"
"95","Danvers","Essex County","MA","Danvers","2006-2010","20823","2155","10.3","1.5"
"96","Essex","Essex County","MA","Essex","2006-2010","2669","300","11.2","4.2"
"97","Georgetown","Essex County","MA","Georgetown","2006-2010","5682","545","9.6","1.9"
"98","Gloucester","Essex County","MA","Gloucester","2006-2010","23520","2340","9.9","1.1"
"99","Groveland","Essex County","MA","Groveland","2006-2010","4526","428","9.5","3"
"100","Hamilton","Essex County","MA","Hamilton","2006-2010","5766","614","10.6","2.4"
"101","Haverhill","Essex County","MA","Haverhill","2006-2010","45431","4099","9","0.8"
"102","Ipswich","Essex County","MA","Ipswich","2006-2010","10354","1015","9.8","1.8"
"103","Lawrence","Essex County","MA","Lawrence","2006-2010","52957","2075","3.9","0.5"
"104","Lynn","Essex County","MA","Lynn","2006-2010","67834","4650","6.9","0.6"
"105","Lynnfield","Essex County","MA","Lynnfield","2006-2010","8704","835","9.6","1.7"
"106","Manchester-by-the-Sea","Essex County","MA","Manchester-by-the-Sea","2006-2010","3854","381","9.9","2.8"
"107","Marblehead","Essex County","MA","Marblehead","2006-2010","14792","1390","9.4","1.2"
"108","Merrimac","Essex County","MA","Merrimac","2006-2010","4749","518","10.9","2.9"
"109","Methuen","Essex County","MA","Methuen","2006-2010","34776","3038","8.7","1"
"110","Middleton","Essex County","MA","Middleton","2006-2010","6792","443","6.5","1.9"
"111","Nahant","Essex County","MA","Nahant","2006-2010","2806","297","10.6","2.8"
"112","Newbury","Essex County","MA","Newbury","2006-2010","5104","477","9.3","2.6"
"113","Newburyport","Essex County","MA","Newburyport","2006-2010","13670","1416","10.4","1.6"
"114","North Andover","Essex County","MA","North Andover","2006-2010","20672","1576","7.6","1"
"115","Peabody","Essex County","MA","Peabody","2006-2010","40241","4186","10.4","0.9"
"116","Rockport","Essex County","MA","Rockport","2006-2010","5695","689","12.1","2.5"
"117","Rowley","Essex County","MA","Rowley","2006-2010","4295","399","9.3","3"
"118","Salem","Essex County","MA","Salem","2006-2010","32809","2936","8.9","1.2"
"119","Salisbury","Essex County","MA","Salisbury","2006-2010","6635","816","12.3","2.4"
"120","Saugus","Essex County","MA","Saugus","2006-2010","20921","1779","8.5","1.1"
"121","Swampscott","Essex County","MA","Swampscott","2006-2010","10772","934","8.7","1.6"
"122","Topsfield","Essex County","MA","Topsfield","2006-2010","4350","317","7.3","2.3"
"123","Wenham","Essex County","MA","Wenham","2006-2010","3776","214","5.7","1.7"
"124","West Newbury","Essex County","MA","West Newbury","2006-2010","3042","219","7.2","2"
"125","Ashfield","Franklin County","MA","Ashfield","2006-2010","1352","124","9.2","2.9"
"126","Bernardston","Franklin County","MA","Bernardston","2006-2010","1780","281","15.8","3.8"
"127","Buckland","Franklin County","MA","Buckland","2006-2010","1652","127","7.7","2.9"
"128","Charlemont","Franklin County","MA","Charlemont","2006-2010","1014","144","14.2","3.2"
"129","Colrain","Franklin County","MA","Colrain","2006-2010","1420","216","15.2","2.9"
"130","Conway","Franklin County","MA","Conway","2006-2010","1494","144","9.6","2.1"
"131","Deerfield","Franklin County","MA","Deerfield","2006-2010","3982","438","11","3.4"
"132","Erving","Franklin County","MA","Erving","2006-2010","1372","188","13.7","2.7"
"133","Gill","Franklin County","MA","Gill","2006-2010","1154","157","13.6","3.5"
"134","Greenfield","Franklin County","MA","Greenfield","2006-2010","13925","1519","10.9","1.4"
"135","Hawley","Franklin County","MA","Hawley","2006-2010","306","52","17","5.1"
"136","Heath","Franklin County","MA","Heath","2006-2010","369","42","11.4","5.2"
"137","Leverett","Franklin County","MA","Leverett","2006-2010","1504","102","6.8","2.1"
"138","Leyden","Franklin County","MA","Leyden","2006-2010","552","62","11.2","4.4"
"139","Monroe","Franklin County","MA","Monroe","2006-2010","100","2","2","3.2"
"140","Montague","Franklin County","MA","Montague","2006-2010","6729","895","13.3","2.3"
"141","New Salem","Franklin County","MA","New Salem","2006-2010","753","95","12.6","3.3"
"142","Northfield","Franklin County","MA","Northfield","2006-2010","2396","274","11.4","2.4"
"143","Orange","Franklin County","MA","Orange","2006-2010","6015","958","15.9","3"
"144","Rowe","Franklin County","MA","Rowe","2006-2010","338","66","19.5","5"
"145","Shelburne","Franklin County","MA","Shelburne","2006-2010","1659","174","10.5","3.4"
"146","Shutesbury","Franklin County","MA","Shutesbury","2006-2010","1453","106","7.3","2"
"147","Sunderland","Franklin County","MA","Sunderland","2006-2010","3057","192","6.3","2.8"
"148","Warwick","Franklin County","MA","Warwick","2006-2010","454","79","17.4","5.8"
"149","Wendell","Franklin County","MA","Wendell","2006-2010","822","63","7.7","2.5"
"150","Whately","Franklin County","MA","Whately","2006-2010","1330","172","12.9","3.5"
"151","Agawam","Hampden County","MA","Agawam","2006-2010","22419","2957","13.2","1.5"
"152","Blandford","Hampden County","MA","Blandford","2006-2010","931","122","13.1","3.3"
"153","Brimfield","Hampden County","MA","Brimfield","2006-2010","2695","545","20.2","5.6"
"154","Chester","Hampden County","MA","Chester","2006-2010","1017","172","16.9","3.2"
"155","Chicopee","Hampden County","MA","Chicopee","2006-2010","43145","4954","11.5","1"
"156","East Longmeadow","Hampden County","MA","East Longmeadow","2006-2010","11790","1367","11.6","1.6"
"157","Granville","Hampden County","MA","Granville","2006-2010","1184","145","12.2","2.6"
"158","Hampden","Hampden County","MA","Hampden","2006-2010","4129","458","11.1","2.7"
"159","Holland","Hampden County","MA","Holland","2006-2010","2055","303","14.7","3.1"
"160","Holyoke","Hampden County","MA","Holyoke","2006-2010","29244","2931","10","1.1"
"161","Longmeadow","Hampden County","MA","Longmeadow","2006-2010","11608","1129","9.7","1.6"
"162","Ludlow","Hampden County","MA","Ludlow","2006-2010","17092","1605","9.4","1.2"
"163","Monson","Hampden County","MA","Monson","2006-2010","6640","799","12","3.1"
"164","Montgomery","Hampden County","MA","Montgomery","2006-2010","612","96","15.7","4.5"
"165","Palmer","Hampden County","MA","Palmer","2006-2010","9603","1331","13.9","2"
"166","Russell","Hampden County","MA","Russell","2006-2010","1281","154","12","3.6"
"167","Southwick","Hampden County","MA","Southwick","2006-2010","7166","964","13.5","2.3"
"168","Springfield","Hampden County","MA","Springfield","2006-2010","111498","8574","7.7","0.5"
"169","Tolland","Hampden County","MA","Tolland","2006-2010","388","61","15.7","6.9"
"170","Wales","Hampden County","MA","Wales","2006-2010","1524","231","15.2","3.5"
"171","Westfield","Hampden County","MA","Westfield","2006-2010","31633","3153","10","1.1"
"172","West Springfield","Hampden County","MA","West Springfield","2006-2010","22016","2520","11.4","1.6"
"173","Wilbraham","Hampden County","MA","Wilbraham","2006-2010","10825","1116","10.3","2"
"174","Amherst","Hampshire County","MA","Amherst","2006-2010","33817","917","2.7","0.6"
"175","Belchertown","Hampshire County","MA","Belchertown","2006-2010","10627","1038","9.8","1.7"
"176","Chesterfield","Hampshire County","MA","Chesterfield","2006-2010","843","132","15.7","3.7"
"177","Cummington","Hampshire County","MA","Cummington","2006-2010","784","70","8.9","2.9"
"178","Easthampton","Hampshire County","MA","Easthampton","2006-2010","13001","1377","10.6","1.8"
"179","Goshen","Hampshire County","MA","Goshen","2006-2010","832","67","8.1","3.7"
"180","Granby","Hampshire County","MA","Granby","2006-2010","4859","574","11.8","2.7"
"181","Hadley","Hampshire County","MA","Hadley","2006-2010","4230","482","11.4","2.6"
"182","Hatfield","Hampshire County","MA","Hatfield","2006-2010","2718","289","10.6","3.3"
"183","Huntington","Hampshire County","MA","Huntington","2006-2010","1619","200","12.4","3.1"
"184","Middlefield","Hampshire County","MA","Middlefield","2006-2010","334","67","20.1","7.2"
"185","Northampton","Hampshire County","MA","Northampton","2006-2010","23638","1868","7.9","1"
"186","Pelham","Hampshire County","MA","Pelham","2006-2010","998","84","8.4","2.4"
"187","Plainfield","Hampshire County","MA","Plainfield","2006-2010","516","62","12","3.8"
"188","Southampton","Hampshire County","MA","Southampton","2006-2010","4451","500","11.2","3.3"
"189","South Hadley","Hampshire County","MA","South Hadley","2006-2010","14469","1767","12.2","1.6"
"190","Ware","Hampshire County","MA","Ware","2006-2010","7721","939","12.2","2.6"
"191","Westhampton","Hampshire County","MA","Westhampton","2006-2010","1233","139","11.3","2.7"
"192","Williamsburg","Hampshire County","MA","Williamsburg","2006-2010","2157","236","10.9","2.7"
"193","Worthington","Hampshire County","MA","Worthington","2006-2010","959","127","13.2","3"
"194","Acton","Middlesex County","MA","Acton","2006-2010","14948","900","6","1.1"
"195","Arlington","Middlesex County","MA","Arlington","2006-2010","33848","2071","6.1","0.9"
"196","Ashby","Middlesex County","MA","Ashby","2006-2010","2202","189","8.6","2.3"
"197","Ashland","Middlesex County","MA","Ashland","2006-2010","11859","952","8","1.4"
"198","Ayer","Middlesex County","MA","Ayer","2006-2010","5782","746","12.9","4.1"
"199","Bedford","Middlesex County","MA","Bedford","2006-2010","9820","1412","14.4","2.1"
"200","Belmont","Middlesex County","MA","Belmont","2006-2010","18625","1089","5.8","0.9"
"201","Billerica","Middlesex County","MA","Billerica","2006-2010","29581","2642","8.9","1.1"
"202","Boxborough","Middlesex County","MA","Boxborough","2006-2010","3611","234","6.5","2"
"203","Burlington","Middlesex County","MA","Burlington","2006-2010","18549","1749","9.4","1.2"
"204","Cambridge","Middlesex County","MA","Cambridge","2006-2010","89363","2883","3.2","0.4"
"205","Carlisle","Middlesex County","MA","Carlisle","2006-2010","3289","231","7","2.2"
"206","Chelmsford","Middlesex County","MA","Chelmsford","2006-2010","25454","2764","10.9","1.1"
"207","Concord","Middlesex County","MA","Concord","2006-2010","13331","1217","9.1","1.4"
"208","Dracut","Middlesex County","MA","Dracut","2006-2010","22349","2170","9.7","1.2"
"209","Dunstable","Middlesex County","MA","Dunstable","2006-2010","2170","123","5.7","2"
"210","Everett","Middlesex County","MA","Everett","2006-2010","31928","2083","6.5","1.1"
"211","Framingham","Middlesex County","MA","Framingham","2006-2010","53285","3218","6","0.7"
"212","Groton","Middlesex County","MA","Groton","2006-2010","7153","544","7.6","2.1"
"213","Holliston","Middlesex County","MA","Holliston","2006-2010","9806","899","9.2","1.7"
"214","Hopkinton","Middlesex County","MA","Hopkinton","2006-2010","9589","794","8.3","1.2"
"215","Hudson","Middlesex County","MA","Hudson","2006-2010","14398","1217","8.5","1.2"
"216","Lexington","Middlesex County","MA","Lexington","2006-2010","22824","1741","7.6","0.9"
"217","Lincoln","Middlesex County","MA","Lincoln","2006-2010","3990","346","8.7","2.6"
"218","Littleton","Middlesex County","MA","Littleton","2006-2010","6454","572","8.9","2.1"
"219","Lowell","Middlesex County","MA","Lowell","2006-2010","79643","5556","7","0.6"
"220","Malden","Middlesex County","MA","Malden","2006-2010","46819","2910","6.2","0.7"
"221","Marlborough","Middlesex County","MA","Marlborough","2006-2010","29731","2577","8.7","1"
"222","Maynard","Middlesex County","MA","Maynard","2006-2010","7659","648","8.5","2"
"223","Medford","Middlesex County","MA","Medford","2006-2010","46576","3557","7.6","0.8"
"224","Melrose","Middlesex County","MA","Melrose","2006-2010","20815","1634","7.9","1.1"
"225","Natick","Middlesex County","MA","Natick","2006-2010","24822","2058","8.3","1"
"226","Newton","Middlesex County","MA","Newton","2006-2010","66191","3361","5.1","0.6"
"227","North Reading","Middlesex County","MA","North Reading","2006-2010","10602","912","8.6","1.8"
"228","Pepperell","Middlesex County","MA","Pepperell","2006-2010","8328","770","9.2","1.7"
"229","Reading","Middlesex County","MA","Reading","2006-2010","17603","1366","7.8","1"
"230","Sherborn","Middlesex County","MA","Sherborn","2006-2010","2937","244","8.3","2.4"
"231","Shirley","Middlesex County","MA","Shirley","2006-2010","5765","643","11.2","2.6"
"232","Somerville","Middlesex County","MA","Somerville","2006-2010","65763","2785","4.2","0.6"
"233","Stoneham","Middlesex County","MA","Stoneham","2006-2010","17053","2017","11.8","1.6"
"234","Stow","Middlesex County","MA","Stow","2006-2010","4672","496","10.6","2.6"
"235","Sudbury","Middlesex County","MA","Sudbury","2006-2010","11786","907","7.7","1.1"
"236","Tewksbury","Middlesex County","MA","Tewksbury","2006-2010","21895","2160","9.9","1.1"
"237","Townsend","Middlesex County","MA","Townsend","2006-2010","6500","603","9.3","1.9"
"238","Tyngsborough","Middlesex County","MA","Tyngsborough","2006-2010","8193","597","7.3","1.5"
"239","Wakefield","Middlesex County","MA","Wakefield","2006-2010","19347","1803","9.3","1.3"
"240","Waltham","Middlesex County","MA","Waltham","2006-2010","51387","2884","5.6","0.6"
"241","Watertown","Middlesex County","MA","Watertown","2006-2010","27117","1902","7","1.2"
"242","Wayland","Middlesex County","MA","Wayland","2006-2010","9295","911","9.8","2"
"243","Westford","Middlesex County","MA","Westford","2006-2010","14938","1314","8.8","1.2"
"244","Weston","Middlesex County","MA","Weston","2006-2010","7869","634","8.1","1.7"
"245","Wilmington","Middlesex County","MA","Wilmington","2006-2010","16167","1760","10.9","1.5"
"246","Winchester","Middlesex County","MA","Winchester","2006-2010","15133","1003","6.6","1"
"247","Woburn","Middlesex County","MA","Woburn","2006-2010","29490","2701","9.2","0.9"
"248","Nantucket","Nantucket County","MA","Nantucket","2006-2010","7951","599","7.5","1.7"
"249","Avon","Norfolk County","MA","Avon","2006-2010","3412","399","11.7","3"
"250","Bellingham","Norfolk County","MA","Bellingham","2006-2010","12251","1177","9.6","1.7"
"251","Braintree","Norfolk County","MA","Braintree","2006-2010","27017","2512","9.3","0.9"
"252","Brookline","Norfolk County","MA","Brookline","2006-2010","47164","1988","4.2","0.6"
"253","Canton","Norfolk County","MA","Canton","2006-2010","16107","1565","9.7","1.3"
"254","Cohasset","Norfolk County","MA","Cohasset","2006-2010","5204","543","10.4","2.4"
"255","Dedham","Norfolk County","MA","Dedham","2006-2010","19300","1889","9.8","1.3"
"256","Dover","Norfolk County","MA","Dover","2006-2010","3881","294","7.6","2.3"
"257","Foxborough","Norfolk County","MA","Foxborough","2006-2010","12382","1176","9.5","1.3"
"258","Franklin","Norfolk County","MA","Franklin","2006-2010","21991","1683","7.7","1.1"
"259","Holbrook","Norfolk County","MA","Holbrook","2006-2010","8366","776","9.3","2.2"
"260","Medfield","Norfolk County","MA","Medfield","2006-2010","8164","565","6.9","1.4"
"261","Medway","Norfolk County","MA","Medway","2006-2010","9034","768","8.5","1.8"
"262","Millis","Norfolk County","MA","Millis","2006-2010","5885","527","9","2.7"
"263","Milton","Norfolk County","MA","Milton","2006-2010","19919","1591","8","1.1"
"264","Needham","Norfolk County","MA","Needham","2006-2010","20820","1665","8","1.1"
"265","Norfolk","Norfolk County","MA","Norfolk","2006-2010","8577","734","8.6","1.4"
"266","Norwood","Norfolk County","MA","Norwood","2006-2010","22501","2236","9.9","1.4"
"267","Plainville","Norfolk County","MA","Plainville","2006-2010","6130","653","10.7","3.1"
"268","Quincy","Norfolk County","MA","Quincy","2006-2010","75708","5395","7.1","0.6"
"269","Randolph","Norfolk County","MA","Randolph","2006-2010","24709","1669","6.8","1.1"
"270","Sharon","Norfolk County","MA","Sharon","2006-2010","12475","976","7.8","1.3"
"271","Stoughton","Norfolk County","MA","Stoughton","2006-2010","20856","1574","7.5","1.2"
"272","Walpole","Norfolk County","MA","Walpole","2006-2010","17478","1781","10.2","1.2"
"273","Wellesley","Norfolk County","MA","Wellesley","2006-2010","20594","1356","6.6","1"
"274","Westwood","Norfolk County","MA","Westwood","2006-2010","10128","1047","10.3","1.7"
"275","Weymouth","Norfolk County","MA","Weymouth","2006-2010","41929","4649","11.1","1"
