"","Municipal","County","State","Region"," Five_Year_Range"," Estimate; VETERAN STATUS - Civilian population 18 years and over"," Estimate; VETERAN STATUS - Civilian veterans"," Percent; VETERAN STATUS - Civilian veterans"," Percent Margin of Error; VETERAN STATUS - Civilian veterans"
"826","Andover","Essex County","MA","Andover","2008-2012","24640","1543","6.3","0.9"
"827","Beverly","Essex County","MA","Beverly","2008-2012","32389","2817","8.7","0.8"
"828","Boxford","Essex County","MA","Boxford","2008-2012","5843","597","10.2","2.4"
"829","Danvers","Essex County","MA","Danvers","2008-2012","20966","2112","10.1","1.3"
"830","Essex","Essex County","MA","Essex","2008-2012","2762","230","8.3","2.8"
"831","Georgetown","Essex County","MA","Georgetown","2008-2012","5921","487","8.2","1.6"
"832","Gloucester","Essex County","MA","Gloucester","2008-2012","23567","2156","9.1","1"
"833","Groveland","Essex County","MA","Groveland","2008-2012","4951","452","9.1","2.4"
"834","Hamilton","Essex County","MA","Hamilton","2008-2012","5614","481","8.6","2.1"
"835","Haverhill","Essex County","MA","Haverhill","2008-2012","46781","3757","8","0.8"
"836","Ipswich","Essex County","MA","Ipswich","2008-2012","10487","976","9.3","1.4"
"837","Lawrence","Essex County","MA","Lawrence","2008-2012","54274","1964","3.6","0.5"
"838","Lynn","Essex County","MA","Lynn","2008-2012","67830","4223","6.2","0.5"
"839","Lynnfield","Essex County","MA","Lynnfield","2008-2012","8873","665","7.5","1.8"
"840","Manchester-by-the-Sea","Essex County","MA","Manchester-by-the-Sea","2008-2012","3877","290","7.5","2.4"
"841","Marblehead","Essex County","MA","Marblehead","2008-2012","14706","1239","8.4","1.1"
"842","Merrimac","Essex County","MA","Merrimac","2008-2012","4763","415","8.7","2.8"
"843","Methuen","Essex County","MA","Methuen","2008-2012","36074","3043","8.4","0.8"
"844","Middleton","Essex County","MA","Middleton","2008-2012","7103","469","6.6","1.8"
"845","Nahant","Essex County","MA","Nahant","2008-2012","2868","239","8.3","2.3"
"846","Newbury","Essex County","MA","Newbury","2008-2012","5151","455","8.8","2.2"
"847","Newburyport","Essex County","MA","Newburyport","2008-2012","13997","1301","9.3","1.5"
"848","North Andover","Essex County","MA","North Andover","2008-2012","21049","1570","7.5","1.2"
"849","Peabody","Essex County","MA","Peabody","2008-2012","40957","3862","9.4","0.9"
"850","Rockport","Essex County","MA","Rockport","2008-2012","5882","696","11.8","2.7"
"851","Rowley","Essex County","MA","Rowley","2008-2012","4433","509","11.5","3.5"
"852","Salem","Essex County","MA","Salem","2008-2012","33599","2694","8","0.9"
"853","Salisbury","Essex County","MA","Salisbury","2008-2012","6788","844","12.4","2.2"
"854","Saugus","Essex County","MA","Saugus","2008-2012","21457","1905","8.9","1.3"
"855","Swampscott","Essex County","MA","Swampscott","2008-2012","10738","880","8.2","1.8"
"856","Topsfield","Essex County","MA","Topsfield","2008-2012","4497","303","6.7","2.3"
"857","Wenham","Essex County","MA","Wenham","2008-2012","3955","227","5.7","2"
"858","West Newbury","Essex County","MA","West Newbury","2008-2012","3046","221","7.3","2.2"
"859","Ashfield","Franklin County","MA","Ashfield","2008-2012","1327","111","8.4","2.8"
"860","Bernardston","Franklin County","MA","Bernardston","2008-2012","1703","227","13.3","3.3"
"861","Buckland","Franklin County","MA","Buckland","2008-2012","1685","161","9.6","3.2"
"862","Charlemont","Franklin County","MA","Charlemont","2008-2012","1059","155","14.6","3.5"
"863","Colrain","Franklin County","MA","Colrain","2008-2012","1352","167","12.4","2.9"
"864","Conway","Franklin County","MA","Conway","2008-2012","1514","140","9.2","2.1"
"865","Deerfield","Franklin County","MA","Deerfield","2008-2012","4065","341","8.4","2.6"
"866","Erving","Franklin County","MA","Erving","2008-2012","1298","156","12","2.4"
"867","Gill","Franklin County","MA","Gill","2008-2012","1316","132","10","3.1"
"868","Greenfield","Franklin County","MA","Greenfield","2008-2012","14081","1373","9.8","1.4"
"869","Hawley","Franklin County","MA","Hawley","2008-2012","323","53","16.4","4.9"
"870","Heath","Franklin County","MA","Heath","2008-2012","459","50","10.9","4.4"
"871","Leverett","Franklin County","MA","Leverett","2008-2012","1461","130","8.9","1.9"
"872","Leyden","Franklin County","MA","Leyden","2008-2012","588","74","12.6","4.2"
"873","Monroe","Franklin County","MA","Monroe","2008-2012","90","8","8.9","9.2"
"874","Montague","Franklin County","MA","Montague","2008-2012","6762","684","10.1","1.8"
"875","New Salem","Franklin County","MA","New Salem","2008-2012","776","89","11.5","3.6"
"876","Northfield","Franklin County","MA","Northfield","2008-2012","2437","247","10.1","2.3"
"877","Orange","Franklin County","MA","Orange","2008-2012","5915","968","16.4","3.1"
"878","Rowe","Franklin County","MA","Rowe","2008-2012","360","73","20.3","5.8"
"879","Shelburne","Franklin County","MA","Shelburne","2008-2012","1632","191","11.7","3.6"
"880","Shutesbury","Franklin County","MA","Shutesbury","2008-2012","1399","105","7.5","2.3"
"881","Sunderland","Franklin County","MA","Sunderland","2008-2012","3117","192","6.2","2.6"
"882","Warwick","Franklin County","MA","Warwick","2008-2012","541","86","15.9","4.3"
"883","Wendell","Franklin County","MA","Wendell","2008-2012","885","96","10.8","3.4"
"884","Whately","Franklin County","MA","Whately","2008-2012","1299","125","9.6","2.9"
"885","Agawam","Hampden County","MA","Agawam","2008-2012","22551","2483","11","1.4"
"886","Blandford","Hampden County","MA","Blandford","2008-2012","908","118","13","2.9"
"887","Brimfield","Hampden County","MA","Brimfield","2008-2012","2789","463","16.6","4.8"
"888","Chester","Hampden County","MA","Chester","2008-2012","1070","159","14.9","3.1"
"889","Chicopee","Hampden County","MA","Chicopee","2008-2012","43507","5124","11.8","0.8"
"890","East Longmeadow","Hampden County","MA","East Longmeadow","2008-2012","11942","1417","11.9","1.4"
"891","Granville","Hampden County","MA","Granville","2008-2012","1149","146","12.7","3.2"
"892","Hampden","Hampden County","MA","Hampden","2008-2012","4146","509","12.3","2.4"
"893","Holland","Hampden County","MA","Holland","2008-2012","1994","281","14.1","3.3"
"894","Holyoke","Hampden County","MA","Holyoke","2008-2012","29786","2620","8.8","1.2"
"895","Longmeadow","Hampden County","MA","Longmeadow","2008-2012","11953","1052","8.8","1.6"
"896","Ludlow","Hampden County","MA","Ludlow","2008-2012","17249","1393","8.1","1.3"
"897","Monson","Hampden County","MA","Monson","2008-2012","6713","715","10.7","2.8"
"898","Montgomery","Hampden County","MA","Montgomery","2008-2012","723","121","16.7","4"
"899","Palmer","Hampden County","MA","Palmer","2008-2012","9592","1189","12.4","2.4"
"900","Russell","Hampden County","MA","Russell","2008-2012","1313","151","11.5","3.2"
"901","Southwick","Hampden County","MA","Southwick","2008-2012","7478","908","12.1","2.6"
"902","Springfield","Hampden County","MA","Springfield","2008-2012","111690","8361","7.5","0.5"
"903","Tolland","Hampden County","MA","Tolland","2008-2012","391","58","14.8","4.8"
"904","Wales","Hampden County","MA","Wales","2008-2012","1579","230","14.6","3.1"
"905","Westfield","Hampden County","MA","Westfield","2008-2012","32437","3032","9.3","1"
"906","West Springfield","Hampden County","MA","West Springfield","2008-2012","22146","2341","10.6","1.3"
"907","Wilbraham","Hampden County","MA","Wilbraham","2008-2012","11079","1155","10.4","1.8"
"908","Amherst","Hampshire County","MA","Amherst","2008-2012","34691","806","2.3","0.6"
"909","Belchertown","Hampshire County","MA","Belchertown","2008-2012","10985","1371","12.5","2.2"
"910","Chesterfield","Hampshire County","MA","Chesterfield","2008-2012","918","125","13.6","3.5"
"911","Cummington","Hampshire County","MA","Cummington","2008-2012","775","78","10.1","3"
"912","Easthampton","Hampshire County","MA","Easthampton","2008-2012","13434","1295","9.6","1.8"
"913","Goshen","Hampshire County","MA","Goshen","2008-2012","868","66","7.6","3"
"914","Granby","Hampshire County","MA","Granby","2008-2012","4895","489","10","2.4"
"915","Hadley","Hampshire County","MA","Hadley","2008-2012","4347","508","11.7","2.9"
"916","Hatfield","Hampshire County","MA","Hatfield","2008-2012","2612","308","11.8","3.6"
"917","Huntington","Hampshire County","MA","Huntington","2008-2012","1647","202","12.3","3.4"
"918","Middlefield","Hampshire County","MA","Middlefield","2008-2012","323","49","15.2","7.2"
"919","Northampton","Hampshire County","MA","Northampton","2008-2012","23837","1713","7.2","0.9"
"920","Pelham","Hampshire County","MA","Pelham","2008-2012","1046","77","7.4","1.8"
"921","Plainfield","Hampshire County","MA","Plainfield","2008-2012","455","52","11.4","3"
"922","Southampton","Hampshire County","MA","Southampton","2008-2012","4580","541","11.8","3.2"
"923","South Hadley","Hampshire County","MA","South Hadley","2008-2012","14725","1441","9.8","1.4"
"924","Ware","Hampshire County","MA","Ware","2008-2012","7651","732","9.6","1.8"
"925","Westhampton","Hampshire County","MA","Westhampton","2008-2012","1266","110","8.7","1.9"
"926","Williamsburg","Hampshire County","MA","Williamsburg","2008-2012","2219","269","12.1","2.8"
"927","Worthington","Hampshire County","MA","Worthington","2008-2012","1007","107","10.6","3"
"928","Acton","Middlesex County","MA","Acton","2008-2012","15849","959","6.1","1.1"
"929","Arlington","Middlesex County","MA","Arlington","2008-2012","33967","1971","5.8","0.7"
"930","Ashby","Middlesex County","MA","Ashby","2008-2012","2342","260","11.1","2.5"
"931","Ashland","Middlesex County","MA","Ashland","2008-2012","12430","896","7.2","1.5"
"932","Ayer","Middlesex County","MA","Ayer","2008-2012","5917","690","11.7","3.3"
"933","Bedford","Middlesex County","MA","Bedford","2008-2012","9887","1166","11.8","2.7"
"934","Belmont","Middlesex County","MA","Belmont","2008-2012","18755","900","4.8","0.8"
"935","Billerica","Middlesex County","MA","Billerica","2008-2012","30847","2753","8.9","0.9"
"936","Boxborough","Middlesex County","MA","Boxborough","2008-2012","3714","298","8","2.3"
"937","Burlington","Middlesex County","MA","Burlington","2008-2012","19141","1571","8.2","1.4"
"938","Cambridge","Middlesex County","MA","Cambridge","2008-2012","91703","2985","3.3","0.4"
"939","Carlisle","Middlesex County","MA","Carlisle","2008-2012","3737","221","5.9","2.3"
"940","Chelmsford","Middlesex County","MA","Chelmsford","2008-2012","25922","2492","9.6","1"
"941","Concord","Middlesex County","MA","Concord","2008-2012","13806","1341","9.7","1.2"
"942","Dracut","Middlesex County","MA","Dracut","2008-2012","22353","1842","8.2","1.1"
"943","Dunstable","Middlesex County","MA","Dunstable","2008-2012","2337","138","5.9","1.8"
"944","Everett","Middlesex County","MA","Everett","2008-2012","32695","2005","6.1","1"
"945","Framingham","Middlesex County","MA","Framingham","2008-2012","54383","3008","5.5","0.6"
"946","Groton","Middlesex County","MA","Groton","2008-2012","7724","560","7.3","2.2"
"947","Holliston","Middlesex County","MA","Holliston","2008-2012","9908","895","9","1.4"
"948","Hopkinton","Middlesex County","MA","Hopkinton","2008-2012","10075","791","7.9","1.5"
"949","Hudson","Middlesex County","MA","Hudson","2008-2012","14831","1114","7.5","1.2"
"950","Lexington","Middlesex County","MA","Lexington","2008-2012","23311","1508","6.5","0.9"
"951","Lincoln","Middlesex County","MA","Lincoln","2008-2012","4057","441","10.9","2.8"
"952","Littleton","Middlesex County","MA","Littleton","2008-2012","6654","396","6","1.5"
"953","Lowell","Middlesex County","MA","Lowell","2008-2012","82700","5238","6.3","0.5"
"954","Malden","Middlesex County","MA","Malden","2008-2012","47625","2517","5.3","0.6"
"955","Marlborough","Middlesex County","MA","Marlborough","2008-2012","30602","2536","8.3","1"
"956","Maynard","Middlesex County","MA","Maynard","2008-2012","7968","681","8.5","2.2"
"957","Medford","Middlesex County","MA","Medford","2008-2012","47695","3126","6.6","0.6"
"958","Melrose","Middlesex County","MA","Melrose","2008-2012","21354","1461","6.8","1.1"
"959","Natick","Middlesex County","MA","Natick","2008-2012","24913","1749","7","1.1"
"960","Newton","Middlesex County","MA","Newton","2008-2012","66535","3485","5.2","0.5"
"961","North Reading","Middlesex County","MA","North Reading","2008-2012","11243","856","7.6","1.6"
"962","Pepperell","Middlesex County","MA","Pepperell","2008-2012","8797","809","9.2","1.5"
"963","Reading","Middlesex County","MA","Reading","2008-2012","18263","1510","8.3","1.1"
"964","Sherborn","Middlesex County","MA","Sherborn","2008-2012","2931","213","7.3","1.9"
"965","Shirley","Middlesex County","MA","Shirley","2008-2012","5908","601","10.2","3.2"
"966","Somerville","Middlesex County","MA","Somerville","2008-2012","65766","2609","4","0.6"
"967","Stoneham","Middlesex County","MA","Stoneham","2008-2012","17301","1884","10.9","1.6"
"968","Stow","Middlesex County","MA","Stow","2008-2012","4762","439","9.2","2.2"
"969","Sudbury","Middlesex County","MA","Sudbury","2008-2012","12113","869","7.2","1.3"
"970","Tewksbury","Middlesex County","MA","Tewksbury","2008-2012","22820","2044","9","1.2"
"971","Townsend","Middlesex County","MA","Townsend","2008-2012","6734","573","8.5","1.8"
"972","Tyngsborough","Middlesex County","MA","Tyngsborough","2008-2012","8826","611","6.9","1.6"
"973","Wakefield","Middlesex County","MA","Wakefield","2008-2012","19645","1690","8.6","1.2"
"974","Waltham","Middlesex County","MA","Waltham","2008-2012","52075","2771","5.3","0.6"
"975","Watertown","Middlesex County","MA","Watertown","2008-2012","27334","1447","5.3","1.1"
"976","Wayland","Middlesex County","MA","Wayland","2008-2012","9561","895","9.4","2.1"
"977","Westford","Middlesex County","MA","Westford","2008-2012","15416","1047","6.8","1.1"
"978","Weston","Middlesex County","MA","Weston","2008-2012","8209","735","9","1.9"
"979","Wilmington","Middlesex County","MA","Wilmington","2008-2012","16599","1597","9.6","1.4"
"980","Winchester","Middlesex County","MA","Winchester","2008-2012","15380","1102","7.2","1.3"
"981","Woburn","Middlesex County","MA","Woburn","2008-2012","30372","2353","7.7","0.9"
"982","Nantucket","Nantucket County","MA","Nantucket","2008-2012","7966","565","7.1","2"
"983","Avon","Norfolk County","MA","Avon","2008-2012","3495","404","11.6","3.3"
"984","Bellingham","Norfolk County","MA","Bellingham","2008-2012","12688","1254","9.9","1.8"
"985","Braintree","Norfolk County","MA","Braintree","2008-2012","27646","2428","8.8","0.9"
"986","Brookline","Norfolk County","MA","Brookline","2008-2012","47703","1615","3.4","0.5"
"987","Canton","Norfolk County","MA","Canton","2008-2012","16332","1387","8.5","1"
"988","Cohasset","Norfolk County","MA","Cohasset","2008-2012","5602","471","8.4","2.2"
"989","Dedham","Norfolk County","MA","Dedham","2008-2012","19591","1732","8.8","1.2"
"990","Dover","Norfolk County","MA","Dover","2008-2012","3924","222","5.7","1.8"
"991","Foxborough","Norfolk County","MA","Foxborough","2008-2012","12783","1046","8.2","1.4"
"992","Franklin","Norfolk County","MA","Franklin","2008-2012","22633","1411","6.2","0.9"
"993","Holbrook","Norfolk County","MA","Holbrook","2008-2012","8472","768","9.1","2.1"
"994","Medfield","Norfolk County","MA","Medfield","2008-2012","8462","635","7.5","1.9"
"995","Medway","Norfolk County","MA","Medway","2008-2012","9310","753","8.1","1.8"
"996","Millis","Norfolk County","MA","Millis","2008-2012","5985","574","9.6","3"
"997","Milton","Norfolk County","MA","Milton","2008-2012","20247","1454","7.2","1.3"
"998","Needham","Norfolk County","MA","Needham","2008-2012","21107","1553","7.4","1"
"999","Norfolk","Norfolk County","MA","Norfolk","2008-2012","8801","705","8","1.6"
"1000","Norwood","Norfolk County","MA","Norwood","2008-2012","22690","1995","8.8","1.2"
"1001","Plainville","Norfolk County","MA","Plainville","2008-2012","6342","541","8.5","3.5"
"1002","Quincy","Norfolk County","MA","Quincy","2008-2012","77411","5873","7.6","0.7"
"1003","Randolph","Norfolk County","MA","Randolph","2008-2012","25129","1488","5.9","1.2"
"1004","Sharon","Norfolk County","MA","Sharon","2008-2012","12621","828","6.6","1.3"
"1005","Stoughton","Norfolk County","MA","Stoughton","2008-2012","21639","1605","7.4","1"
"1006","Walpole","Norfolk County","MA","Walpole","2008-2012","18326","1772","9.7","1.3"
"1007","Wellesley","Norfolk County","MA","Wellesley","2008-2012","20875","1447","6.9","1.1"
"1008","Westwood","Norfolk County","MA","Westwood","2008-2012","10293","765","7.4","1.4"
"1009","Weymouth","Norfolk County","MA","Weymouth","2008-2012","42352","4394","10.4","0.9"
"1010","Wrentham","Norfolk County","MA","Wrentham","2008-2012","8079","536","6.6","1.4"
"1011","Abington","Plymouth County","MA","Abington","2008-2012","12157","1245","10.2","1.7"
"1012","Bridgewater","Plymouth County","MA","Bridgewater","2008-2012","21354","1907","8.9","1.3"
"1013","Brockton","Plymouth County","MA","Brockton","2008-2012","69475","5144","7.4","0.7"
"1014","Carver","Plymouth County","MA","Carver","2008-2012","8624","951","11","1.9"
"1015","Duxbury","Plymouth County","MA","Duxbury","2008-2012","10679","1137","10.6","1.5"
"1016","East Bridgewater","Plymouth County","MA","East Bridgewater","2008-2012","10606","1107","10.4","1.6"
"1017","Halifax","Plymouth County","MA","Halifax","2008-2012","5804","458","7.9","2.3"
"1018","Hanover","Plymouth County","MA","Hanover","2008-2012","10168","966","9.5","1.9"
"1019","Hanson","Plymouth County","MA","Hanson","2008-2012","7515","708","9.4","1.6"
"1020","Hingham","Plymouth County","MA","Hingham","2008-2012","16376","1729","10.6","1.4"
"1021","Hull","Plymouth County","MA","Hull","2008-2012","8652","876","10.1","1.6"
"1022","Kingston","Plymouth County","MA","Kingston","2008-2012","9541","1056","11.1","2.6"
"1023","Lakeville","Plymouth County","MA","Lakeville","2008-2012","8004","820","10.2","2"
"1024","Marion","Plymouth County","MA","Marion","2008-2012","3929","391","10","3.2"
"1025","Marshfield","Plymouth County","MA","Marshfield","2008-2012","18972","1835","9.7","1.3"
"1026","Mattapoisett","Plymouth County","MA","Mattapoisett","2008-2012","4707","568","12.1","2.7"
"1027","Middleborough","Plymouth County","MA","Middleborough","2008-2012","17542","2047","11.7","1.5"
"1028","Norwell","Plymouth County","MA","Norwell","2008-2012","7405","654","8.8","1.6"
"1029","Pembroke","Plymouth County","MA","Pembroke","2008-2012","13113","1146","8.7","1.8"
"1030","Plymouth","Plymouth County","MA","Plymouth","2008-2012","44201","4907","11.1","1"
"1031","Plympton","Plymouth County","MA","Plympton","2008-2012","2269","245","10.8","3.1"
"1032","Rochester","Plymouth County","MA","Rochester","2008-2012","3973","442","11.1","2.4"
"1033","Rockland","Plymouth County","MA","Rockland","2008-2012","13754","1329","9.7","1.6"
"1034","Scituate","Plymouth County","MA","Scituate","2008-2012","13492","1434","10.6","1.6"
"1035","Wareham","Plymouth County","MA","Wareham","2008-2012","17533","1986","11.3","1.6"
"1036","West Bridgewater","Plymouth County","MA","West Bridgewater","2008-2012","5430","651","12","2.2"
"1037","Whitman","Plymouth County","MA","Whitman","2008-2012","10984","1106","10.1","1.6"
"1038","Boston","Suffolk County","MA","Boston","2008-2012","514617","19585","3.8","0.2"
"1039","Chelsea","Suffolk County","MA","Chelsea","2008-2012","26005","902","3.5","1.7"
"1040","Revere","Suffolk County","MA","Revere","2008-2012","40909","2407","5.9","0.8"
"1041","Winthrop","Suffolk County","MA","Winthrop","2008-2012","14418","1321","9.2","1.4"
"1042","Ashburnham","Worcester County","MA","Ashburnham","2008-2012","4559","502","11","3.1"
"1043","Athol","Worcester County","MA","Athol","2008-2012","8726","1040","11.9","1.7"
"1044","Auburn","Worcester County","MA","Auburn","2008-2012","12808","1347","10.5","1.4"
"1045","Barre","Worcester County","MA","Barre","2008-2012","4054","366","9","3.4"
"1046","Berlin","Worcester County","MA","Berlin","2008-2012","2261","285","12.6","3.9"
"1047","Blackstone","Worcester County","MA","Blackstone","2008-2012","6774","727","10.7","2.2"
"1048","Bolton","Worcester County","MA","Bolton","2008-2012","3455","192","5.6","1.8"
"1049","Boylston","Worcester County","MA","Boylston","2008-2012","3337","223","6.7","1.8"
"1050","Brookfield","Worcester County","MA","Brookfield","2008-2012","2567","346","13.5","3"
"1051","Charlton","Worcester County","MA","Charlton","2008-2012","9503","1025","10.8","1.6"
"1052","Clinton","Worcester County","MA","Clinton","2008-2012","10577","901","8.5","1.9"
"1053","Douglas","Worcester County","MA","Douglas","2008-2012","6106","599","9.8","2.6"
"1054","Dudley","Worcester County","MA","Dudley","2008-2012","8647","907","10.5","2.4"
"1055","East Brookfield","Worcester County","MA","East Brookfield","2008-2012","1710","152","8.9","2.8"
"1056","Fitchburg","Worcester County","MA","Fitchburg","2008-2012","31556","2751","8.7","1"
"1057","Gardner","Worcester County","MA","Gardner","2008-2012","16070","1923","12","1.4"
"1058","Grafton","Worcester County","MA","Grafton","2008-2012","12896","908","7","1.2"
"1059","Hardwick","Worcester County","MA","Hardwick","2008-2012","2330","343","14.7","3.6"
"1060","Harvard","Worcester County","MA","Harvard","2008-2012","5039","533","10.6","2.5"
"1061","Holden","Worcester County","MA","Holden","2008-2012","13178","1143","8.7","1.2"
"1062","Hopedale","Worcester County","MA","Hopedale","2008-2012","4369","279","6.4","2.4"
"1063","Hubbardston","Worcester County","MA","Hubbardston","2008-2012","3302","381","11.5","3.4"
"1064","Lancaster","Worcester County","MA","Lancaster","2008-2012","6287","610","9.7","2.3"
"1065","Leicester","Worcester County","MA","Leicester","2008-2012","8935","1033","11.6","2.1"
"1066","Leominster","Worcester County","MA","Leominster","2008-2012","32209","3157","9.8","1.1"
"1067","Lunenburg","Worcester County","MA","Lunenburg","2008-2012","8038","815","10.1","2.4"
"1068","Mendon","Worcester County","MA","Mendon","2008-2012","4280","317","7.4","2.2"
"1069","Milford","Worcester County","MA","Milford","2008-2012","21256","1645","7.7","1"
"1070","Millbury","Worcester County","MA","Millbury","2008-2012","10392","942","9.1","1.6"
"1071","Millville","Worcester County","MA","Millville","2008-2012","2255","180","8","3"
"1072","New Braintree","Worcester County","MA","New Braintree","2008-2012","808","78","9.7","3"
"1073","Northborough","Worcester County","MA","Northborough","2008-2012","10634","707","6.6","1.2"
"1074","Northbridge","Worcester County","MA","Northbridge","2008-2012","11623","1330","11.4","2"
"1075","North Brookfield","Worcester County","MA","North Brookfield","2008-2012","3623","382","10.5","3.8"
"1076","Oakham","Worcester County","MA","Oakham","2008-2012","1400","141","10.1","2"
"1077","Oxford","Worcester County","MA","Oxford","2008-2012","10407","1009","9.7","1.8"
"1078","Paxton","Worcester County","MA","Paxton","2008-2012","3762","364","9.7","2.3"
"1079","Petersham","Worcester County","MA","Petersham","2008-2012","1015","90","8.9","2.6"
"1080","Phillipston","Worcester County","MA","Phillipston","2008-2012","1468","149","10.1","2.7"
"1081","Princeton","Worcester County","MA","Princeton","2008-2012","2493","168","6.7","2.3"
"1082","Royalston","Worcester County","MA","Royalston","2008-2012","861","118","13.7","4.3"
"1083","Rutland","Worcester County","MA","Rutland","2008-2012","5759","880","15.3","3.1"
"1084","Shrewsbury","Worcester County","MA","Shrewsbury","2008-2012","26052","2332","9","1.3"
"1085","Southborough","Worcester County","MA","Southborough","2008-2012","6947","561","8.1","1.6"
"1086","Southbridge","Worcester County","MA","Southbridge","2008-2012","12579","1144","9.1","1.4"
"1087","Spencer","Worcester County","MA","Spencer","2008-2012","9160","1249","13.6","2.9"
"1088","Sterling","Worcester County","MA","Sterling","2008-2012","5807","451","7.8","2.2"
"1089","Sturbridge","Worcester County","MA","Sturbridge","2008-2012","6827","675","9.9","2.5"
"1090","Sutton","Worcester County","MA","Sutton","2008-2012","6653","758","11.4","2.5"
"1091","Templeton","Worcester County","MA","Templeton","2008-2012","5914","648","11","2.5"
"1092","Upton","Worcester County","MA","Upton","2008-2012","5398","315","5.8","1.9"
"1093","Uxbridge","Worcester County","MA","Uxbridge","2008-2012","10086","1088","10.8","2"
"1094","Warren","Worcester County","MA","Warren","2008-2012","3926","459","11.7","4.2"
"1095","Webster","Worcester County","MA","Webster","2008-2012","13311","1357","10.2","1.9"
"1096","Westborough","Worcester County","MA","Westborough","2008-2012","13629","864","6.3","1.3"
"1097","West Boylston","Worcester County","MA","West Boylston","2008-2012","6351","626","9.9","1.8"
"1098","West Brookfield","Worcester County","MA","West Brookfield","2008-2012","3081","285","9.3","2.7"
"1099","Westminster","Worcester County","MA","Westminster","2008-2012","5558","606","10.9","2.4"
"1100","Winchendon","Worcester County","MA","Winchendon","2008-2012","7789","911","11.7","2.4"
"1101","Worcester","Worcester County","MA","Worcester","2008-2012","141557","10277","7.3","0.5"
